Filter,Threshold,Average Time (sec)
Trunc,100,0.04865796724955241
Trunc,101,0.04865796724955241
Trunc,102,0.04865796724955241
Trunc,103,0.04865796724955241
Trunc,104,0.04865796724955241
Trunc,105,0.04865796724955241
Trunc,106,0.04865796724955241
Trunc,107,0.04865796724955241
Trunc,108,0.04865796724955241
Trunc,109,0.04865796724955241
Trunc,110,0.04865796724955241
Trunc,111,0.04865796724955241
Trunc,112,0.04865796724955241
Trunc,113,0.04865796724955241
Trunc,114,0.04865796724955241
Mean_C,100,0.06671385447184244
Mean_C,101,0.06671385447184244
Mean_C,102,0.06671385447184244
Mean_C,103,0.06671385447184244
Mean_C,104,0.06671385447184244
Mean_C,105,0.06671385447184244
Mean_C,106,0.06671385447184244
Mean_C,107,0.06671385447184244
Mean_C,108,0.06671385447184244
Mean_C,109,0.06671385447184244
Mean_C,110,0.06671385447184244
Mean_C,111,0.06671385447184244
Mean_C,112,0.06671385447184244
Mean_C,113,0.06671385447184244
Mean_C,114,0.06671385447184244
Otsu,100,0.5174411169687907
Otsu,101,0.5174411169687907
Otsu,102,0.5174411169687907
Otsu,103,0.5174411169687907
Otsu,104,0.5174411169687907
Otsu,105,0.5174411169687907
Otsu,106,0.5174411169687907
Otsu,107,0.5174411169687907
Otsu,108,0.5174411169687907
Otsu,109,0.5174411169687907
Otsu,110,0.5174411169687907
Otsu,111,0.5174411169687907
Otsu,112,0.5174411169687907
Otsu,113,0.5174411169687907
Otsu,114,0.5174411169687907
Binary,100,0.0840400473276774
Binary,101,0.0840400473276774
Binary,102,0.0840400473276774
Binary,103,0.0840400473276774
Binary,104,0.0840400473276774
Binary,105,0.0840400473276774
Binary,106,0.0840400473276774
Binary,107,0.0840400473276774
Binary,108,0.0840400473276774
Binary,109,0.0840400473276774
Binary,110,0.0840400473276774
Binary,111,0.0840400473276774
Binary,112,0.0840400473276774
Binary,113,0.0840400473276774
Binary,114,0.0840400473276774
Adaptive,100,0.03907740592956543
Adaptive,101,0.03907740592956543
Adaptive,102,0.03907740592956543
Adaptive,103,0.03907740592956543
Adaptive,104,0.03907740592956543
Adaptive,105,0.03907740592956543
Adaptive,106,0.03907740592956543
Adaptive,107,0.03907740592956543
Adaptive,108,0.03907740592956543
Adaptive,109,0.03907740592956543
Adaptive,110,0.03907740592956543
Adaptive,111,0.03907740592956543
Adaptive,112,0.03907740592956543
Adaptive,113,0.03907740592956543
Adaptive,114,0.03907740592956543
